2.495984443119551588e-01,2.607540585509345865e-01
2.240310225570333602e-01,2.554786998074502491e-01
2.360250300690282521e-01,2.302953152784518731e-01
2.594365995545885872e-01,2.334861635434612448e-01
2.505013636502816388e-01,2.215679367940135425e-01
2.500800878602280619e-01,2.523503370875662677e-01
2.096233721065277056e-01,2.302818740722407664e-01
2.466520236012074707e-01,2.326827125614606140e-01
2.241940744845753453e-01,2.378396854503523061e-01
2.469057503473853221e-01,2.584181792000979083e-01
2.352881938226653313e-01,2.353265975393875054e-01
2.161138764862086392e-01,2.491755325387365883e-01
2.489749562189466636e-01,2.717572715049295096e-01
2.492999717965481143e-01,2.174674172255575133e-01
